window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,ours,gcn,4,0.05,0.3644973635673523,0.0499898017837607,0.0485435092989189,0.9708701859783798,0.0545323221379559,0.9151515151515152,0.1029311520109066,151,0.2966147232670607,0.6188340807174888,0.4010170722847802,1104,2618
1m,ours,gin,0,0.001,0.9984592199325564,0.0009827372012386,0.0005377241289796,0.5377241289796221,0.7734375,0.6,0.6757679180887372,99,0.0333333333333333,0.0005605381165919,0.0011025358324145,1,29
1m,ours,gin,0,0.01,0.5561079978942872,0.0099942519144833,0.0089929725019005,0.8992972501900577,0.2289348171701113,0.8727272727272727,0.36272040302267,144,0.3149717514124294,0.125,0.1789727126805778,223,485
1m,ours,gin,0,0.05,0.0552213378250599,0.0499898017837607,0.0507871168715581,1.015742337431162,0.053231939163498,0.9333333333333332,0.1007194244604316,154,0.2561108093427485,0.5285874439461884,0.345042078302232,943,2739
1m,ours,gin,1,0.001,0.99604731798172,0.0009641949898944,0.0010012794125827,1.0012794125827444,0.660377358490566,0.6363636363636364,0.6481481481481481,105,0.0181818181818181,0.0005605381165919,0.0010875475802066,1,54
1m,ours,gin,1,0.01,0.5023956894874574,0.0099942519144833,0.0086406704863622,0.8640670486362203,0.2360655737704918,0.8727272727272727,0.3716129032258065,144,0.1853146853146853,0.0594170403587443,0.0899830220713073,106,466
1m,ours,gin,1,0.05,0.0318203009665012,0.0499898017837607,0.0488401846804249,0.9768036936084996,0.0542190305206463,0.9151515151515152,0.1023728813559322,151,0.2246099499558433,0.4276905829596412,0.2945377340281799,763,2634
1m,ours,gin,2,0.001,0.9976266026496888,0.0009827372012386,0.0007787728764532,0.7787728764532459,0.7142857142857143,0.6363636363636364,0.6730769230769231,105,0.0232558139534883,0.0005605381165919,0.0010946907498631,1,42
1m,ours,gin,2,0.01,0.505951225757599,0.0099942519144833,0.009512154419536,0.9512154419536074,0.2239031770045385,0.896969696969697,0.3583535108958838,148,0.3258869908015768,0.1390134529147982,0.1948919449901768,248,513
1m,ours,gin,2,0.05,0.0695317983627319,0.0499898017837607,0.0499341751497283,0.9986835029945672,0.0527611677805135,0.9090909090909092,0.0997340425531914,150,0.2558717877866814,0.5190582959641256,0.342772533777531,926,2693
1m,ours,gin,3,0.001,0.9964433312416078,0.0009827372012386,0.0010383638352709,1.0383638352709943,0.6744186046511628,0.703030303030303,0.6884272997032641,116,0.1111111111111111,0.0039237668161434,0.0075798592311857,7,56
1m,ours,gin,3,0.01,0.5317641496658326,0.0099942519144833,0.0095863232649125,0.9586323264912572,0.2178517397881997,0.8727272727272727,0.3486682808716707,144,0.4016203703703703,0.1945067264573991,0.2620845921450151,347,517
1m,ours,gin,3,0.05,0.0311121195554733,0.0499898017837607,0.0513062987891936,1.026125975783872,0.0523972602739726,0.9272727272727272,0.0991896272285251,153,0.2410861217772902,0.4927130044843049,0.3237569060773481,879,2767
1m,ours,gin,4,0.001,0.9984459280967714,0.0009827372012386,0.0006860618197326,0.6860618197326213,0.7516778523489933,0.6787878787878788,0.7133757961783439,112,0.0263157894736842,0.0005605381165919,0.0010976948408342,1,37
1m,ours,gin,4,0.01,0.5465381145477296,0.0099942519144833,0.0100869629712039,1.0086962971203943,0.2115942028985507,0.8848484848484849,0.3415204678362573,146,0.3768613974799542,0.1844170403587444,0.24764772299586,329,544
1m,ours,gin,4,0.05,0.0363302156329155,0.0499898017837607,0.0501566816858578,1.003133633717157,0.0535339398180545,0.9272727272727272,0.1012239497188223,153,0.2442022911427773,0.4899103139013453,0.3259369755733731,874,2705
1m,ours,sage,0,0.001,0.991778314113617,0.0009827372012386,0.0012608703714004,1.2608703714004932,0.5853658536585366,0.5818181818181818,0.5835866261398176,96,0.0144927536231884,0.0005605381165919,0.0010793308148947,1,68
1m,ours,sage,0,0.01,0.7435521483421327,0.0099942519144833,0.0099015408577626,0.9901540857762696,0.2100591715976331,0.8606060606060606,0.3376932223543401,142,0.3840830449826989,0.1866591928251121,0.2512259524707657,333,534
1m,ours,sage,0,0.05,0.205896869301796,0.0499898017837607,0.0493593665980604,0.9871873319612096,0.0550230741924032,0.9393939393939394,0.1039570757880617,155,0.2987355110642782,0.6356502242152466,0.4064516129032258,1134,2662
1m,ours,sage,1,0.001,0.992050588130951,0.0009827372012386,0.0013535814281211,1.3535814281211178,0.5680473372781065,0.5818181818181818,0.5748502994011976,96,0.0135135135135135,0.0005605381165919,0.0010764262648008,1,73
1m,ours,sage,1,0.01,0.6677881479263307,0.0099942519144833,0.0095677810535684,0.9567781053568448,0.2193645990922844,0.8787878787878788,0.3510895883777239,145,0.4273029966703662,0.2158071748878924,0.286778398510242,385,516
1m,ours,sage,1,0.05,0.1729355156421661,0.0499898017837607,0.0496374997682223,0.9927499953644472,0.0547316384180791,0.9393939393939394,0.1034367701034367,155,0.2906730259671436,0.6149103139013453,0.3947463116228859,1097,2677
1m,ours,sage,2,0.001,0.9909720420837403,0.0009827372012386,0.0012608703714004,1.2608703714004932,0.6069364161849711,0.6363636363636364,0.621301775147929,105,0.0144927536231884,0.0005605381165919,0.0010793308148947,1,68
1m,ours,sage,2,0.01,0.7781286239624025,0.0099942519144833,0.0100869629712039,1.0086962971203943,0.2069970845481049,0.8606060606060606,0.3337250293772033,142,0.3818181818181818,0.1883408071748878,0.2522522522522522,336,544
1m,ours,sage,2,0.05,0.1949983835220337,0.0499898017837607,0.0497487530362871,0.994975060725742,0.0546159267089499,0.9393939393939394,0.1032301032301032,155,0.2871944739638682,0.6059417040358744,0.389689978370584,1081,2683
